datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-05-04 18:05:38,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:05:48,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:05:58,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:06:08,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:06:18,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:06:28,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:06:38,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:06:48,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:06:58,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:07:08,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:07:18,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:07:28,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:07:39,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:07:49,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 18:07:59,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
