datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-05-04 17:48:22,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:48:32,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:48:42,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:48:52,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:49:02,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:49:12,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:49:22,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:49:32,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:49:42,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:49:52,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:50:02,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:50:12,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:50:22,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:50:32,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
2025-05-04 17:50:42,2,131.39,0.02,3.64,64.05,0.55,2.97,3.16,2.74
